name,email,password,municipality,barangay,sex,birthday,is_pregnant,weight,height,screening_date
"Underweight Maria Santos","underweight.maria@limay.com","password123","LIMAY","Poblacion","Female","1988-05-15","No","45.2","165.0","2024-01-15 10:30:00"
"Normal Weight Juan Cruz","normal.juan@limay.com","password123","LIMAY","Poblacion","Male","1990-03-20","No","70.5","175.0","2024-01-15 11:15:00"
"Obese Ana Reyes","obese.ana@limay.com","password123","LIMAY","Poblacion","Female","1985-08-12","No","78.3","160.0","2024-01-15 12:00:00"
"Obese Carlos Mendoza","obese.carlos@limay.com","password123","LIMAY","Poblacion","Male","1982-11-25","No","95.7","170.0","2024-01-15 13:45:00"
"Underweight Sofia Garcia","underweight.sofia@limay.com","password123","LIMAY","Poblacion","Female","1992-07-08","No","48.1","168.0","2024-01-15 14:30:00"
"Normal Weight Miguel Torres","normal.miguel@limay.com","password123","LIMAY","Poblacion","Male","1987-12-03","No","72.8","178.0","2024-01-15 15:15:00"
"Obese Carmen Lopez","obese.carmen@limay.com","password123","LIMAY","Poblacion","Female","1984-04-18","No","82.5","162.0","2024-01-15 16:00:00"
"Obese Roberto Silva","obese.roberto@limay.com","password123","LIMAY","Poblacion","Male","1980-09-30","No","102.3","172.0","2024-01-15 16:45:00"
"Underweight Elena Vargas","underweight.elena@limay.com","password123","LIMAY","Poblacion","Female","1995-01-22","No","46.8","163.0","2024-01-15 17:30:00"
"Normal Weight Antonio Flores","normal.antonio@limay.com","password123","LIMAY","Poblacion","Male","1989-06-14","No","75.2","180.0","2024-01-15 18:15:00"
"Obese Rosa Martinez","obese.rosa@limay.com","password123","LIMAY","Poblacion","Female","1983-10-07","No","85.7","165.0","2024-01-15 19:00:00"
"Obese Fernando Ramos","obese.fernando@limay.com","password123","LIMAY","Poblacion","Male","1981-02-28","No","108.9","175.0","2024-01-15 19:45:00"
"Underweight Isabel Morales","underweight.isabel@limay.com","password123","LIMAY","Poblacion","Female","1993-12-11","No","47.5","166.0","2024-01-15 20:30:00"
"Normal Weight Luis Herrera","normal.luis@limay.com","password123","LIMAY","Poblacion","Male","1986-08-05","No","73.6","182.0","2024-01-15 21:15:00"
"Obese Patricia Jimenez","obese.patricia@limay.com","password123","LIMAY","Poblacion","Female","1988-03-17","No","79.8","158.0","2024-01-15 22:00:00"
"Obese Manuel Castro","obese.manuel@limay.com","password123","LIMAY","Poblacion","Male","1982-07-23","No","115.2","177.0","2024-01-15 22:45:00"
"Underweight Gabriela Ruiz","underweight.gabriela@limay.com","password123","LIMAY","Poblacion","Female","1994-05-09","No","44.9","164.0","2024-01-15 23:30:00"
"Normal Weight Diego Moreno","normal.diego@limay.com","password123","LIMAY","Poblacion","Male","1991-11-16","No","76.4","179.0","2024-01-16 08:00:00"
"Obese Monica Aguilar","obese.monica@limay.com","password123","LIMAY","Poblacion","Female","1987-01-04","No","81.3","161.0","2024-01-16 08:45:00"
"Obese Ricardo Vega","obese.ricardo@limay.com","password123","LIMAY","Poblacion","Male","1984-12-19","No","112.7","174.0","2024-01-16 09:30:00"
