name,email,password,municipality,barangay,sex,birthday,is_pregnant,weight,height,screening_date
"Severe Underweight Boy","severe.boy@example.com","test123","CITY OF BALANGA","Bagumbayan","Male","2022-01-15","No","8.0","75.0","2024-01-15 10:30:00"
"Underweight Girl","underweight.girl@example.com","test123","MARIVELES","Alion","Female","2022-03-20","No","8.5","72.0","2024-01-15 14:30:00"
"Normal Weight Boy","normal.boy@example.com","test123","ORANI","Poblacion","Male","2021-06-10","No","11.5","78.0","2024-01-15 09:15:00"
"Overweight Girl","overweight.girl@example.com","test123","ABUCAY","Wawa","Female","2021-09-25","No","16.5","82.0","2024-01-15 16:45:00"
"Severe Underweight Girl","severe.girl@example.com","test123","SAMAL","Sapa","Female","2022-02-14","No","7.8","70.0","2024-01-15 11:20:00"
"Underweight Boy","underweight.boy@example.com","test123","LIMAY","Poblacion","Male","2022-05-10","No","9.0","76.0","2024-01-15 13:15:00"
"Normal Weight Girl","normal.girl@example.com","test123","PILAR","Wawa","Female","2021-12-05","No","10.8","75.0","2024-01-15 15:30:00"
"Overweight Boy","overweight.boy@example.com","test123","ORION","Sapa","Male","2021-08-20","No","16.2","85.0","2024-01-15 12:45:00"
"Birth Severe Underweight","birth.severe@example.com","test123","CITY OF BALANGA","Bagumbayan","Male","2024-01-01","No","1.8","50.0","2024-01-15 08:00:00"
"Birth Normal","birth.normal@example.com","test123","MARIVELES","Alion","Female","2024-01-01","No","3.2","50.0","2024-01-15 08:30:00"
